metric;timestamp;value;resource_kind;resource_id;consumer_kind;consumer_id;__late_attributes
mem_total_kB;2026-02-12T18:46:21.141223579Z;1081669177344;local_machine;;local_machine;;
mem_free_kB;2026-02-12T18:46:21.141223579Z;1040048893952;local_machine;;local_machine;;
mem_available_kB;2026-02-12T18:46:21.141223579Z;1060737880064;local_machine;;local_machine;;
cached_kB;2026-02-12T18:46:21.141223579Z;23183167488;local_machine;;local_machine;;
swap_cached_kB;2026-02-12T18:46:21.141223579Z;0;local_machine;;local_machine;;
active_kB;2026-02-12T18:46:21.141223579Z;10343358464;local_machine;;local_machine;;
inactive_kB;2026-02-12T18:46:21.141223579Z;22358511616;local_machine;;local_machine;;
mapped_kB;2026-02-12T18:46:21.141223579Z;955105280;local_machine;;local_machine;;
mem_total_kB;2026-02-12T18:46:21.142182412Z;1081669177344;local_machine;;local_machine;;
mem_free_kB;2026-02-12T18:46:21.142182412Z;1040048893952;local_machine;;local_machine;;
mem_available_kB;2026-02-12T18:46:21.142182412Z;1060737880064;local_machine;;local_machine;;
cached_kB;2026-02-12T18:46:21.142182412Z;23183167488;local_machine;;local_machine;;
swap_cached_kB;2026-02-12T18:46:21.142182412Z;0;local_machine;;local_machine;;
active_kB;2026-02-12T18:46:21.142182412Z;10343358464;local_machine;;local_machine;;
inactive_kB;2026-02-12T18:46:21.142182412Z;22358511616;local_machine;;local_machine;;
mapped_kB;2026-02-12T18:46:21.142182412Z;955105280;local_machine;;local_machine;;
network_bytes_B;2026-02-12T18:46:21.142239991Z;0;local_machine;;local_machine;;direction=rx,interface=lo
network_packets;2026-02-12T18:46:21.142239991Z;0;local_machine;;local_machine;;direction=rx,interface=lo
network_packet_drops;2026-02-12T18:46:21.142239991Z;0;local_machine;;local_machine;;direction=rx,interface=lo
network_errors;2026-02-12T18:46:21.142239991Z;0;local_machine;;local_machine;;direction=rx,interface=lo
network_bytes_B;2026-02-12T18:46:21.142239991Z;0;local_machine;;local_machine;;direction=tx,interface=lo
network_packets;2026-02-12T18:46:21.142239991Z;0;local_machine;;local_machine;;direction=tx,interface=lo
network_packet_drops;2026-02-12T18:46:21.142239991Z;0;local_machine;;local_machine;;direction=tx,interface=lo
network_errors;2026-02-12T18:46:21.142239991Z;0;local_machine;;local_machine;;direction=tx,interface=lo
network_bytes_B;2026-02-12T18:46:21.142239991Z;0;local_machine;;local_machine;;direction=rx,interface=eno12409np1
network_packets;2026-02-12T18:46:21.142239991Z;0;local_machine;;local_machine;;direction=rx,interface=eno12409np1
network_packet_drops;2026-02-12T18:46:21.142239991Z;0;local_machine;;local_machine;;direction=rx,interface=eno12409np1
network_errors;2026-02-12T18:46:21.142239991Z;0;local_machine;;local_machine;;direction=rx,interface=eno12409np1
network_bytes_B;2026-02-12T18:46:21.142239991Z;0;local_machine;;local_machine;;direction=tx,interface=eno12409np1
network_packets;2026-02-12T18:46:21.142239991Z;0;local_machine;;local_machine;;direction=tx,interface=eno12409np1
network_packet_drops;2026-02-12T18:46:21.142239991Z;0;local_machine;;local_machine;;direction=tx,interface=eno12409np1
network_errors;2026-02-12T18:46:21.142239991Z;0;local_machine;;local_machine;;direction=tx,interface=eno12409np1
network_bytes_B;2026-02-12T18:46:21.142239991Z;0;local_machine;;local_machine;;direction=rx,interface=eno12399np0
network_packets;2026-02-12T18:46:21.142239991Z;0;local_machine;;local_machine;;direction=rx,interface=eno12399np0
network_packet_drops;2026-02-12T18:46:21.142239991Z;0;local_machine;;local_machine;;direction=rx,interface=eno12399np0
network_errors;2026-02-12T18:46:21.142239991Z;0;local_machine;;local_machine;;direction=rx,interface=eno12399np0
network_bytes_B;2026-02-12T18:46:21.142239991Z;0;local_machine;;local_machine;;direction=tx,interface=eno12399np0
network_packets;2026-02-12T18:46:21.142239991Z;0;local_machine;;local_machine;;direction=tx,interface=eno12399np0
network_packet_drops;2026-02-12T18:46:21.142239991Z;0;local_machine;;local_machine;;direction=tx,interface=eno12399np0
network_errors;2026-02-12T18:46:21.142239991Z;0;local_machine;;local_machine;;direction=tx,interface=eno12399np0
network_bytes_B;2026-02-12T18:46:21.142239991Z;0;local_machine;;local_machine;;direction=rx,interface=eno12419np2
network_packets;2026-02-12T18:46:21.142239991Z;0;local_machine;;local_machine;;direction=rx,interface=eno12419np2
network_packet_drops;2026-02-12T18:46:21.142239991Z;0;local_machine;;local_machine;;direction=rx,interface=eno12419np2
