metric;timestamp;value;resource_kind;resource_id;consumer_kind;consumer_id;__late_attributes
mem_total_kB;2026-03-25T00:49:03.155125005Z;1081669578752;local_machine;;local_machine;;
mem_free_kB;2026-03-25T00:49:03.155125005Z;1027299823616;local_machine;;local_machine;;
mem_available_kB;2026-03-25T00:49:03.155125005Z;1063773208576;local_machine;;local_machine;;
cached_kB;2026-03-25T00:49:03.155125005Z;33518370816;local_machine;;local_machine;;
swap_cached_kB;2026-03-25T00:49:03.155125005Z;0;local_machine;;local_machine;;
active_kB;2026-03-25T00:49:03.155125005Z;7308144640;local_machine;;local_machine;;
inactive_kB;2026-03-25T00:49:03.155125005Z;34536472576;local_machine;;local_machine;;
mapped_kB;2026-03-25T00:49:03.155125005Z;465580032;local_machine;;local_machine;;
mem_total_kB;2026-03-25T00:49:03.15832638Z;1081669578752;local_machine;;local_machine;;
mem_free_kB;2026-03-25T00:49:03.15832638Z;1027299823616;local_machine;;local_machine;;
mem_available_kB;2026-03-25T00:49:03.15832638Z;1063773208576;local_machine;;local_machine;;
cached_kB;2026-03-25T00:49:03.15832638Z;33518370816;local_machine;;local_machine;;
swap_cached_kB;2026-03-25T00:49:03.15832638Z;0;local_machine;;local_machine;;
active_kB;2026-03-25T00:49:03.15832638Z;7310209024;local_machine;;local_machine;;
inactive_kB;2026-03-25T00:49:03.15832638Z;34536472576;local_machine;;local_machine;;
mapped_kB;2026-03-25T00:49:03.15832638Z;465580032;local_machine;;local_machine;;
nvml_instant_power_mW;2026-03-25T00:49:03.155138051Z;32454;gpu;00000000:3F:00.0;local_machine;;
nvml_temperature_gpu_°C;2026-03-25T00:49:03.155138051Z;25;gpu;00000000:3F:00.0;local_machine;;
nvml_gpu_utilization_%;2026-03-25T00:49:03.155138051Z;0;gpu;00000000:3F:00.0;local_machine;;
nvml_memory_utilization_%;2026-03-25T00:49:03.155138051Z;0;gpu;00000000:3F:00.0;local_machine;;
nvml_decoder_utilization_%;2026-03-25T00:49:03.155138051Z;0;gpu;00000000:3F:00.0;local_machine;;
nvml_decoder_sampling_period_μs;2026-03-25T00:49:03.155138051Z;100000;gpu;00000000:3F:00.0;local_machine;;
nvml_encoder_utilization_%;2026-03-25T00:49:03.155138051Z;0;gpu;00000000:3F:00.0;local_machine;;
nvml_encoder_sampling_period_μs;2026-03-25T00:49:03.155138051Z;100000;gpu;00000000:3F:00.0;local_machine;;
nvml_n_compute_processes;2026-03-25T00:49:03.155138051Z;0;gpu;00000000:3F:00.0;local_machine;;
nvml_n_graphic_processes;2026-03-25T00:49:03.155138051Z;0;gpu;00000000:3F:00.0;local_machine;;
nvml_energy_consumption_mJ;2026-03-25T00:49:03.158432878Z;0;gpu;00000000:3F:00.0;local_machine;;
nvml_instant_power_mW;2026-03-25T00:49:03.158432878Z;32454;gpu;00000000:3F:00.0;local_machine;;
nvml_temperature_gpu_°C;2026-03-25T00:49:03.158432878Z;25;gpu;00000000:3F:00.0;local_machine;;
nvml_gpu_utilization_%;2026-03-25T00:49:03.158432878Z;0;gpu;00000000:3F:00.0;local_machine;;
nvml_memory_utilization_%;2026-03-25T00:49:03.158432878Z;0;gpu;00000000:3F:00.0;local_machine;;
nvml_decoder_utilization_%;2026-03-25T00:49:03.158432878Z;0;gpu;00000000:3F:00.0;local_machine;;
